participant,vis,rdirection,sign,visandsign,rbase,approach,jnd
hrjhyvas,scatterplot,negative,-1,scatterplotnegative,0.8,below,0.081666667
hrjhyvas,scatterplot,negative,-1,scatterplotnegative,0.8,above,0.05125
hrjhyvas,scatterplot,negative,-1,scatterplotnegative,0.4,below,0.175
hs6gy5qt,stackedbar,negative,-1,stackedbarnegative,0.5,below,0.085
hs6gy5qt,stackedbar,negative,-1,stackedbarnegative,0.5,above,0.101666667
hs6gy5qt,stackedbar,negative,-1,stackedbarnegative,0.8,below,0.05
hs6gy5qt,stackedbar,negative,-1,stackedbarnegative,0.8,above,0.0475
hskgn8gg,radar,negative,-1,radarnegative,0.4,below,0.375
hskgn8gg,radar,negative,-1,radarnegative,0.7,below,0.543333333
hskgn8gg,radar,negative,-1,radarnegative,0.7,above,0.285833333
hskgn8gg,radar,negative,-1,radarnegative,0.4,above,0.527916667
hs6gik4i,stackedbar,negative,-1,stackedbarnegative,0.8,below,0.191666667
hs6gik4i,stackedbar,negative,-1,stackedbarnegative,0.5,below,0.203333333
hs6gik4i,stackedbar,negative,-1,stackedbarnegative,0.8,above,0.055
hs6gik4i,stackedbar,negative,-1,stackedbarnegative,0.5,above,0.158333333
hskkd7op,radar,negative,-1,radarnegative,0.5,above,0.251666667
hskkd7op,radar,negative,-1,radarnegative,0.8,below,0.563333333
hskkd7op,radar,negative,-1,radarnegative,0.8,above,0.186666667
hskkd7op,radar,negative,-1,radarnegative,0.5,below,0.521666667
hs7jtdat,stackedline,negative,-1,stackedlinenegative,0.6,below,0.523333333
hs7jtdat,stackedline,negative,-1,stackedlinenegative,0.3,below,0.163333333
hs7jtdat,stackedline,negative,-1,stackedlinenegative,0.3,above,0.151666667
hs7jtdat,stackedline,negative,-1,stackedlinenegative,0.6,above,0.08
hskdipks,radar,negative,-1,radarnegative,0.6,below,0.421666667
hskdipks,radar,negative,-1,radarnegative,0.6,above,0.392083333
hskdipks,radar,negative,-1,radarnegative,0.3,below,0.656666667
hskdipks,radar,negative,-1,radarnegative,0.3,above,0.431666667
hsyxcy4j,ordered_line,negative,-1,ordered_linenegative,0.5,above,0.118333333
hsyxcy4j,ordered_line,negative,-1,ordered_linenegative,0.8,below,0.101666667
hsyxcy4j,ordered_line,negative,-1,ordered_linenegative,0.5,below,0.121666667
hsyxcy4j,ordered_line,negative,-1,ordered_linenegative,0.8,above,0.075
hs5f6f8k,stackedbar,negative,-1,stackedbarnegative,0.3,below,0.271666667
hs5f6f8k,stackedbar,negative,-1,stackedbarnegative,0.6,above,0.151666667
hs5f6f8k,stackedbar,negative,-1,stackedbarnegative,0.3,above,0.141666667
hs5f6f8k,stackedbar,negative,-1,stackedbarnegative,0.6,below,0.17
hskxhv75,donut,positive,1,donutpositive,0.4,below,0.378333333
hskxhv75,donut,positive,1,donutpositive,0.7,above,0.294583333
hskxhv75,donut,positive,1,donutpositive,0.4,above,0.318333333
hskxhv75,donut,positive,1,donutpositive,0.7,below,0.501666667
hrqiny9j,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.8,above,0.05
hrqiny9j,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.8,below,0.042916667
hrqiny9j,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.5,above,0.131666667
hrqiny9j,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.5,below,0.208333333
hrji6a3j,scatterplot,negative,-1,scatterplotnegative,0.8,below,0.035833333
hrji6a3j,scatterplot,negative,-1,scatterplotnegative,0.4,above,0.073333333
hrji6a3j,scatterplot,negative,-1,scatterplotnegative,0.8,above,0.027916667
hrji6a3j,scatterplot,negative,-1,scatterplotnegative,0.4,below,0.158333333
hrqf8ouw,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.6,above,0.065
hrqf8ouw,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.3,above,0.06
hrqf8ouw,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.6,below,0.105
hrqf8ouw,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.3,below,0.238333333
hs7v902o,stackedline,negative,-1,stackedlinenegative,0.8,above,0.106666667
hs7v902o,stackedline,negative,-1,stackedlinenegative,0.8,below,0.231666667
hs7v902o,stackedline,negative,-1,stackedlinenegative,0.5,above,0.178333333
hs7v902o,stackedline,negative,-1,stackedlinenegative,0.5,below,0.4
hsjjplhi,radar,positive,1,radarpositive,0.5,below,0.285
hsjjplhi,radar,positive,1,radarpositive,0.8,below,0.19
hsjjplhi,radar,positive,1,radarpositive,0.8,above,0.093333333
hsjjplhi,radar,positive,1,radarpositive,0.5,above,0.148333333
hsjc0lm3,stackedarea,positive,1,stackedareapositive,0.8,below,0.426666667
hsjc0lm3,stackedarea,positive,1,stackedareapositive,0.5,above,0.186666667
hsjc0lm3,stackedarea,positive,1,stackedareapositive,0.8,above,0.171666667
hsjc0lm3,stackedarea,positive,1,stackedareapositive,0.5,below,0.383333333
hsjhp3xg,radar,positive,1,radarpositive,0.7,below,0.245
hsjhp3xg,radar,positive,1,radarpositive,0.7,above,0.103333333
hsjhp3xg,radar,positive,1,radarpositive,0.4,below,0.318333333
hsjhp3xg,radar,positive,1,radarpositive,0.4,above,0.26
hsjcphp6,stackedarea,positive,1,stackedareapositive,0.8,below,0.49
hsjcphp6,stackedarea,positive,1,stackedareapositive,0.5,above,0.44875
hsjcphp6,stackedarea,positive,1,stackedareapositive,0.5,below,0.136666667
hsjcphp6,stackedarea,positive,1,stackedareapositive,0.8,above,0.186666667
hs7ii74r,stackedline,negative,-1,stackedlinenegative,0.6,above,0.285
hs7ii74r,stackedline,negative,-1,stackedlinenegative,0.6,below,0.071666667
